issuer,ticker,fiscal_year,report_date,market_equity,equity_volatility,short_term_debt,long_term_debt,default_point,asset_value_A,asset_vol_sigmaA,DD,PD,classification
Cisco,CSCO,2012.0,2012-07-28,307395166208.0,0.23735435576293445,6.0,1.0,6.5,307395166214.183,0.3164724754530941,77.66716621163668,0.0,healthy
Cisco,CSCO,2013.0,2013-07-27,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2014.0,2014-07-26,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2015.0,2015-07-25,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2016.0,2016-07-30,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2017.0,2017-07-29,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2018.0,2018-07-28,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2019.0,2019-07-27,307395166208.0,0.23735435576293445,120.0,2.0,121.0,307395166323.09875,0.31647247530166844,68.42785289143434,0.0,healthy
Cisco,CSCO,2020.0,2020-07-25,307395166208.0,0.23735435576293445,11214000000.0,13620000000.0,18024000000.0,324540125355.20087,0.2256968392831909,12.91659845952609,1.8141506173883064e-38,healthy
Cisco,CSCO,2021.0,2021-07-31,307395166208.0,0.23735435576293445,10591000000.0,12833000000.0,17007500000.0,323573200645.1959,0.2263712907755008,13.120696318860142,1.2531075778235766e-39,healthy
Cisco,CSCO,2022.0,2022-07-30,307395166208.0,0.23735435576293445,11812000000.0,13969000000.0,18796500000.0,325274950085.6277,0.22518696394230733,12.770035653650613,1.2052201398433954e-37,healthy
Cisco,CSCO,2023.0,2023-07-29,307395166208.0,0.23735435576293445,12613000000.0,15031000000.0,20128500000.0,326541987679.0626,0.22431318946416756,12.532761099676298,2.47059749887744e-36,healthy
Cisco,CSCO,2024.0,2024-07-27,307395166208.0,0.23735435576293445,10320000000.0,12181000000.0,16410500000.0,323005316678.769,0.22676928454493572,13.247099409211618,2.3449069188293486e-40,healthy
Cisco,CSCO,2025.0,2025-07-26,307395166208.0,0.23735435576293445,10180000000.0,11760000000.0,16060000000.0,322671910765.48145,0.22700360017683285,13.323749150795162,8.421606313048098e-41,healthy
IBM,IBM,1993.0,1993-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,1994.0,1994-12-31,289057505280.0,0.30427102218797547,2937.0,,,,,,,unknown
IBM,IBM,1995.0,1995-09-30,289057505280.0,0.30427102218797547,2467.0,188.0,2561.0,289057507716.0986,0.32455575489638266,57.12137254999933,0.0,healthy
IBM,IBM,1996.0,1996-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,1997.0,1997-09-30,289057505280.0,0.30427102218797547,1359.0,,29268.5,289057533121.0584,0.32455572666316623,49.61538163609183,0.0,healthy
IBM,IBM,1998.0,1998-12-31,289057505280.0,0.30427102218797547,1036.0,1552.0,1812.0,289057507003.62775,0.3245557557266614,58.18734208938113,0.0,healthy
IBM,IBM,1999.0,1999-09-30,289057505280.0,0.30427102218797547,1762.0,2680.0,3102.0,289057508230.7137,0.32455575436382766,56.53087547026282,0.0,healthy
IBM,IBM,2000.0,2000-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,2001.0,2001-09-30,289057505280.0,0.30427102218797547,1595.0,,31558.5,289057535299.3738,0.3245557238689692,49.38327675753642,0.0,healthy
IBM,IBM,2002.0,2002-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,2003.0,2003-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,2004.0,2004-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,2005.0,2005-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2006.0,2006-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2007.0,2007-12-31,289057505280.0,0.30427102218797547,,,,,,,,unknown
IBM,IBM,2008.0,2008-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2009.0,2009-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2010.0,2010-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2011.0,2011-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2012.0,2012-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2013.0,2013-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2014.0,2014-09-30,289057505280.0,0.30427102218797547,1.0,,,,,,,unknown
IBM,IBM,2015.0,2015-09-30,289057505280.0,0.30427102218797547,1.0,,,,,,,unknown
IBM,IBM,2016.0,2016-12-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2017.0,2017-09-30,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2018.0,2018-09-30,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2019.0,2019-03-31,289057505280.0,0.30427102218797547,2.0,,,,,,,unknown
IBM,IBM,2020.0,2020-09-30,289057505280.0,0.30427102218797547,1698000000.0,1827000000.0,2611500000.0,291541640922.0836,0.30286147349644255,15.582686984417514,4.772821091471394e-55,healthy
IBM,IBM,2021.0,2021-09-30,289057505280.0,0.30427102218797547,1130000000.0,1319000000.0,1789500000.0,290759730335.14404,0.3036759294893722,16.775947568299042,1.82987109307756e-63,healthy
IBM,IBM,2022.0,2022-09-30,289057505280.0,0.30427102218797547,3196000000.0,4501000000.0,5446500000.0,294238376340.54315,0.3000856974687986,13.31083541446179,1.001151211551826e-40,healthy
IBM,IBM,2023.0,2023-09-30,289057505280.0,0.30427102218797547,1704000000.0,1873000000.0,2640500000.0,291569226575.39417,0.30283281939328094,15.548035115800552,8.203120318769571e-55,healthy
IBM,IBM,2024.0,2024-09-30,289057505280.0,0.30427102218797547,330000000.0,802000000.0,731000000.0,289752853989.31,0.3047311888928148,19.64334410351694,3.295579728847319e-86,healthy
IBM,IBM,2025.0,2025-09-30,289057505280.0,0.30427102218797547,1744000000.0,2430000000.0,2959000000.0,291872193147.0976,0.3025184749394396,15.191488471612727,2.013355772734038e-52,healthy
KLA Corp,KLAC,1993.0,1993-12-31,157220798464.0,0.4312323511441005,1369.0,2442.0,2590.0,157220800927.6842,0.4599811679340654,38.84009560159008,0.0,healthy
KLA Corp,KLAC,1994.0,1994-12-16,157220798464.0,0.4312323511441005,,,,,,,,unknown
KLA Corp,KLAC,1995.0,1995-06-30,157220798464.0,0.4312323511441005,,,,,,,,unknown
KLA Corp,KLAC,1996.0,1996-06-30,157220798464.0,0.4312323511441005,,,,,,,,unknown
KLA Corp,KLAC,1997.0,1997-06-30,157220798464.0,0.4312323511441005,11507.0,,,,,,,unknown
KLA Corp,KLAC,1998.0,1998-06-30,157220798464.0,0.4312323511441005,,,,,,,,unknown
KLA Corp,KLAC,1999.0,1999-06-30,157220798464.0,0.4312323511441005,4.0,,,,,,,unknown
KLA Corp,KLAC,2000.0,2000-06-30,157220798464.0,0.4312323511441005,196634.0,-1.0,196633.5,157220985507.57104,0.4599806283596888,29.42739196157024,1.2256274391887858e-190,healthy
KLA Corp,KLAC,2001.0,2001-06-30,157220798464.0,0.4312323511441005,105396.0,,1101751.5,157221846482.44528,0.45997810910506154,25.681052579223174,9.516148826820147e-146,healthy
KLA Corp,KLAC,2002.0,2002-06-30,157220798464.0,0.4312323511441005,216166.0,244893.0,338612.5,157221120562.1735,0.4599802329353738,28.245814842226185,8.010995064145483e-176,healthy
KLA Corp,KLAC,2003.0,2003-06-30,157220798464.0,0.4312323511441005,3.0,2.0,4.0,157220798467.80493,0.574976469284454,42.22663879261794,0.0,healthy
KLA Corp,KLAC,2004.0,2004-06-30,157220798464.0,0.4312323511441005,1.0,1.0,1.5,157220798465.42685,0.5749764692961985,43.93249860579343,0.0,healthy
KLA Corp,KLAC,2005.0,2005-06-30,157220798464.0,0.4312323511441005,160.0,160.0,240.0,157220798692.29507,0.5749764681757707,35.105748217163715,2.754078685667112e-270,healthy
KLA Corp,KLAC,2006.0,2006-06-30,157220798464.0,0.4312323511441005,1.0,,,,,,,unknown
KLA Corp,KLAC,2007.0,2007-06-30,157220798464.0,0.4312323511441005,1.0,,,,,,,unknown
KLA Corp,KLAC,2008.0,2008-06-30,157220798464.0,0.4312323511441005,212476000.0,243630000.0,334291000.0,157538785899.54578,0.4320496149247179,14.146712436394603,9.784713029926765e-46,healthy
KLA Corp,KLAC,2009.0,2009-06-30,157220798464.0,0.4312323511441005,1.0,1.0,1.5,157220798465.42685,0.5749764692961985,43.93249860579343,0.0,healthy
KLA Corp,KLAC,2010.0,2010-06-30,157220798464.0,0.4312323511441005,1.0,146.0,74.0,157220798534.391,0.5749764689556072,37.15204726561954,2.03136803287015e-302,healthy
KLA Corp,KLAC,2011.0,2011-06-30,157220798464.0,0.4312323511441005,2.0,8217.0,4110.5,157220802374.02856,0.45998116340541706,37.83595315083534,0.0,healthy
KLA Corp,KLAC,2012.0,2012-06-30,157220798464.0,0.4312323511441005,2.0,2.0,3.0,157220798466.8537,0.5749764692891517,42.72697591528372,0.0,healthy
KLA Corp,KLAC,2013.0,2013-06-30,157220798464.0,0.4312323511441005,2.0,2.0,3.0,157220798466.8537,0.5749764692891517,42.72697591528372,0.0,healthy
KLA Corp,KLAC,2014.0,2014-06-30,157220798464.0,0.4312323511441005,2.0,2.0,3.0,157220798466.8537,0.5749764692891517,42.72697591528372,0.0,healthy
KLA Corp,KLAC,2015.0,2015-06-30,157220798464.0,0.4312323511441005,10.0,,,,,,,unknown
KLA Corp,KLAC,2016.0,2016-06-30,157220798464.0,0.4312323511441005,120.0,,,,,,,unknown
KLA Corp,KLAC,2017.0,2017-06-30,157220798464.0,0.4312323511441005,120.0,30.0,135.0,157220798592.416,0.5749764686690408,36.106422432579706,8.991604145832255e-286,healthy
KLA Corp,KLAC,2018.0,2018-06-30,157220798464.0,0.4312323511441005,120.0,30.0,135.0,157220798592.416,0.5749764686690408,36.106422432579706,8.991604145832255e-286,healthy
KLA Corp,KLAC,2019.0,2019-06-30,157220798464.0,0.4312323511441005,120.0,30.0,135.0,157220798592.416,0.5749764686690408,36.106422432579706,8.991604145832255e-286,healthy
KLA Corp,KLAC,2020.0,2020-06-30,157220798464.0,0.4312323511441005,1216785000.0,,3299475000.0,160359350744.16196,0.8438756872119382,4.239476075209554,1.1202103441839443e-05,healthy
KLA Corp,KLAC,2021.0,2021-06-30,157220798464.0,0.4312323511441005,2078292000.0,,3447741000.0,160500384144.33224,0.8430644278577891,4.193271795658965,1.3747983503888423e-05,healthy
KLA Corp,KLAC,2022.0,2022-06-30,157220798464.0,0.4312323511441005,3321807000.0,3489237000.0,5066425500.0,162040073017.3739,0.8342667590827232,3.796396754927345,7.340723279729718e-05,healthy
KLA Corp,KLAC,2023.0,2023-06-30,157220798464.0,0.4312323511441005,3387277000.0,3789190000.0,5281872000.0,162244997914.13965,0.8331084367663057,3.754363746105694,8.689117277195411e-05,healthy
KLA Corp,KLAC,2024.0,2024-06-30,157220798464.0,0.4312323511441005,2761896000.0,3190032000.0,4356912000.0,161365195253.57745,0.8381036150932186,3.950224824001823,3.9038908931694715e-05,healthy
KLA Corp,KLAC,2025.0,2025-06-30,157220798464.0,0.4312323511441005,4061643000.0,4644448000.0,6383867000.0,163293131845.52383,0.8272330102636061,3.565640697064575,0.0001814841854787932,healthy
Meta,META,2012.0,2012-12-31,1623799496704.0,0.38314229765058394,2.0,10.0,7.0,1623799496710.6587,0.5108563979757275,51.06991458280068,0.0,healthy
Meta,META,2013.0,2013-12-31,1623799496704.0,0.38314229765058394,2.0,2.0,3.0,1623799496706.8538,0.510856397977344,52.72849782391544,0.0,healthy
Meta,META,2014.0,2014-12-31,1623799496704.0,0.38314229765058394,2.0,2.0,3.0,1623799496706.8538,0.510856397977344,52.72849782391544,0.0,healthy
Meta,META,2015.0,2015-12-31,1623799496704.0,0.38314229765058394,,,,,,,,unknown
Meta,META,2016.0,2016-12-31,1623799496704.0,0.38314229765058394,2.0,2.0,3.0,1623799496706.8538,0.510856397977344,52.72849782391544,0.0,healthy
Meta,META,2017.0,2017-12-31,1623799496704.0,0.38314229765058394,2.0,2.0,3.0,1623799496706.8538,0.510856397977344,52.72849782391544,0.0,healthy
Meta,META,2018.0,2018-12-31,1623799496704.0,0.38314229765058394,2.0,2.0,3.0,1623799496706.8538,0.510856397977344,52.72849782391544,0.0,healthy
Meta,META,2019.0,2019-12-31,1623799496704.0,0.38314229765058394,18485000000.0,23986000000.0,30478000000.0,1652791066103.6729,0.7514855090607011,5.004554712851061,2.7995653891530027e-07,healthy
Meta,META,2020.0,2020-12-31,1623799496704.0,0.38314229765058394,29146000000.0,32671000000.0,45481500000.0,1667062821190.3408,0.7444156784946878,4.5329990536716265,2.9076037874047884e-06,healthy
Meta,META,2021.0,2021-12-31,1623799496704.0,0.38314229765058394,39370000000.0,46753000000.0,62746500000.0,1683485685429.8123,0.7364369029065607,4.166479528723346,1.546698285777338e-05,healthy
Meta,META,2022.0,2022-12-31,1623799496704.0,0.38314229765058394,23200000000.0,28944000000.0,37672000000.0,1659634206996.8232,0.7480810652441818,4.752991235845884,1.002145196385007e-06,healthy
Meta,META,2023.0,2023-12-31,1623799496704.0,0.38314229765058394,39098000000.0,46751000000.0,62473500000.0,1683226003150.669,0.7365617395047628,4.171358952543051,1.5139422741370149e-05,healthy
Meta,META,2024.0,2024-12-31,1623799496704.0,0.38314229765058394,62360000000.0,69380000000.0,97050000000.0,1716114786735.598,0.7210793399053159,3.69253978815044,0.00011101279541118627,healthy
Meta,META,2025.0,2025-09-30,1623799496704.0,0.38314229765058394,2709000000.0,20535000000.0,12976500000.0,1636143125331.0334,0.3817429206715961,12.610824928305302,9.202816328031542e-37,healthy
Micron Technology,MU,1994.0,1994-09-01,271366848512.0,0.640046963296907,400.5,620.1,710.55,271366849187.89606,0.6827167593266994,28.676089692004965,3.7909900948467427e-181,healthy
Micron Technology,MU,1995.0,1995-08-31,271366848512.0,0.640046963296907,844.1,1296.5,1492.35,271366849931.56723,0.68271675889626,27.589155770113763,7.507231478226005e-168,healthy
Micron Technology,MU,1996.0,1996-08-29,271366848512.0,0.640046963296907,593.5,944.5,1065.75,271366849525.77277,0.6827167581874948,28.08229336570278,8.059600665307295e-174,healthy
Micron Technology,MU,1997.0,1997-11-27,271366848512.0,0.640046963296907,9.6,17.5,18.35,271366848529.45505,0.8533959520995253,27.07180116118809,1.0578091111319364e-161,healthy
Micron Technology,MU,1998.0,1998-09-03,271366848512.0,0.640046963296907,-233.7,-493.6,-480.5,,,,,unknown
Micron Technology,MU,1999.0,1999-12-02,271366848512.0,0.640046963296907,-5.6,532.0,260.4,271366848759.70013,0.853395951121716,23.963526152157115,3.339458408097846e-127,healthy
Micron Technology,MU,2000.0,2000-08-31,271366848512.0,0.640046963296907,1504.2,2293.3,2650.8500000000004,271366851033.56653,0.6827167551806956,26.747623507874167,6.5796790819227564e-158,healthy
Micron Technology,MU,2001.0,2001-08-30,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2002.0,2002-08-29,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2003.0,2003-08-28,271366848512.0,0.640046963296907,400000.0,4700000.0,2750000.0,271369464392.9174,0.6827101801294703,16.575978110878445,5.197878473460003e-62,healthy
Micron Technology,MU,2004.0,2004-09-02,271366848512.0,0.640046963296907,2.0,2.0,3.0,271366848514.8537,0.8533959521615346,29.19393131596558,1.1578099729537156e-187,healthy
Micron Technology,MU,2005.0,2005-12-31,271366848512.0,0.640046963296907,2.0,2.0,3.0,271366848514.8537,0.8533959521615346,29.19393131596558,1.1578099729537156e-187,healthy
Micron Technology,MU,2006.0,2006-08-31,271366848512.0,0.640046963296907,2.0,2.0,3.0,271366848514.8537,0.8533959521615346,29.19393131596558,1.1578099729537156e-187,healthy
Micron Technology,MU,2007.0,2007-10-12,271366848512.0,0.640046963296907,1.0,,,,,,,unknown
Micron Technology,MU,2008.0,2008-10-08,271366848512.0,0.640046963296907,1.0,1.0,1.5,271366848513.42685,0.8533959521675945,30.006153565921228,4.078682016238241e-198,healthy
Micron Technology,MU,2009.0,2009-09-03,271366848512.0,0.640046963296907,1.0,1.0,1.5,271366848513.42685,0.8533959521675945,30.006153565921228,4.078682016238241e-198,healthy
Micron Technology,MU,2010.0,2010-09-02,271366848512.0,0.640046963296907,1.0,1.0,1.5,271366848513.42685,0.8533959521675945,30.006153565921228,4.078682016238241e-198,healthy
Micron Technology,MU,2011.0,2011-09-01,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2012.0,2012-12-31,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2013.0,2013-08-29,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2014.0,2014-08-28,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2015.0,2015-09-30,271366848512.0,0.640046963296907,2.0,2.0,3.0,271366848514.8537,0.8533959521615346,29.19393131596558,1.1578099729537156e-187,healthy
Micron Technology,MU,2016.0,2016-09-01,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2017.0,2017-08-31,271366848512.0,0.640046963296907,2.0,2.0,3.0,271366848514.8537,0.8533959521615346,29.19393131596558,1.1578099729537156e-187,healthy
Micron Technology,MU,2018.0,2018-08-30,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2019.0,2019-08-29,271366848512.0,0.640046963296907,2.0,2.0,3.0,271366848514.8537,0.8533959521615346,29.19393131596558,1.1578099729537156e-187,healthy
Micron Technology,MU,2020.0,2020-09-03,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2021.0,2021-09-02,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2022.0,2022-09-01,271366848512.0,0.640046963296907,,,,,,,,unknown
Micron Technology,MU,2023.0,2023-08-31,271366848512.0,0.640046963296907,5833000000.0,5745000000.0,8705500000.0,279614393839.8665,1.2382766551784286,2.2230831296318474,0.013105097503488858,healthy
Micron Technology,MU,2024.0,2024-08-29,271366848512.0,0.640046963296907,778000000.0,1304000000.0,1430000000.0,272727037032.53354,1.2730578074635592,3.5273016429163353,0.0002099090945639175,healthy
Micron Technology,MU,2025.0,2025-08-28,271366848512.0,0.640046963296907,8539000000.0,9770000000.0,13424000000.0,284028493794.8216,1.2164898222579643,1.9417397717755516,0.026084305673854245,moderate
Microsoft,MSFT,1993.0,1993-12-31,3556993138688.0,0.24686908687083087,289.0,415.0,496.5,3556993139160.2856,0.3291587839552699,68.9277684509124,0.0,healthy
Microsoft,MSFT,1994.0,1994-06-30,3556993138688.0,0.24686908687083087,,,,,,,,unknown
Microsoft,MSFT,1995.0,1995-06-30,3556993138688.0,0.24686908687083087,209.0,289.0,353.5,3556993139024.26,0.3291587835635313,69.95979324321269,0.0,healthy
Microsoft,MSFT,1996.0,1996-06-30,3556993138688.0,0.24686908687083087,,,,,,,,unknown
Microsoft,MSFT,1997.0,1997-06-30,3556993138688.0,0.24686908687083087,,,,,,,,unknown
Microsoft,MSFT,1998.0,1998-06-30,3556993138688.0,0.24686908687083087,,,,,,,,unknown
Microsoft,MSFT,1999.0,1999-06-30,3556993138688.0,0.24686908687083087,,,,,,,,unknown
Microsoft,MSFT,2000.0,2000-06-30,3556993138688.0,0.24686908687083087,,,,,,,,unknown
Microsoft,MSFT,2001.0,2001-06-30,3556993138688.0,0.24686908687083087,3454.0,10010.0,8459.0,3556993146734.4497,0.26332702627977944,75.46616144668806,0.0,healthy
Microsoft,MSFT,2002.0,2002-06-30,3556993138688.0,0.24686908687083087,9421000000.0,,33823000000.0,3589166571512.8877,0.2456155760357556,19.071961262857485,2.1590125384040332e-81,healthy
Microsoft,MSFT,2003.0,2003-06-30,3556993138688.0,0.24686908687083087,7346000000.0,,39785500000.0,3594838276956.473,0.2452280586337719,18.44684243771505,2.7641134149736115e-76,healthy
Microsoft,MSFT,2004.0,2004-06-30,3556993138688.0,0.24686908687083087,7531000000.0,,46194500000.0,3600934706338.098,0.2448128831313306,17.875371827510552,9.17240752723086e-72,healthy
Microsoft,MSFT,2005.0,2005-06-30,3556993138688.0,0.24686908687083087,7531000000.0,14561000000.0,14811500000.0,3571082273308.992,0.24685939848683616,22.299131947108325,1.883685261655345e-110,healthy
Microsoft,MSFT,2006.0,2006-06-30,3556993138688.0,0.24686908687083087,12599000000.0,9034000000.0,17116000000.0,3573274381517.7544,0.24670795665760206,21.729301374164532,5.4219670112405615e-105,healthy
Microsoft,MSFT,2007.0,2007-06-30,3556993138688.0,0.24686908687083087,14065000000.0,14561000000.0,21345500000.0,3577297606368.68,0.24643049509694384,20.862507274859738,5.86775696142189e-97,healthy
Microsoft,MSFT,2008.0,2008-06-30,3556993138688.0,0.24686908687083087,17681000000.0,16472000000.0,25917000000.0,3581646151682.785,0.24613129855505153,20.104669294630103,3.358334288813663e-90,healthy
